Namespace(heuristic=False, output='res/LunarLanderAgent3_corrected_with_heruistic_v2.gif', weight='res/last_weight/5/LunarLander-v2.ckpt')

WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
If you depend on functionality not listed there, please file an issue.

Restore model from res/last_weight/5/LunarLander-v2.ckpt
iteration:  1
reward  2.8852406453330857 action  1
reward  2.1100647195994897 action  2
reward  3.069973534934833 action  1
reward  4.438699001965785 action  2
reward  2.205312951068959 action  2
reward  5.089551703908893 action  2
reward  3.4063118564149604 action  1
reward  3.543053207516647 action  2
reward  4.275268375330666 action  2
reward  3.634516726721843 action  1
reward  3.9310955143940034 action  1
reward  3.1235961684309475 action  2
reward  3.1671361389457617 action  2
reward  3.6377872448761766 action  2
reward  6.616473910020784 action  2
reward  6.363431134571909 action  2
reward  5.4661442797462145 action  2
reward  4.180382977278822 action  2
reward  7.478293790801598 action  2
reward  7.599806691547184 action  2
reward  3.3492044058643673 action  2
reward  -0.29456754177356287 action  2
reward  -1.0536746771586138 action  2
reward  -1.6582323197693427 action  2
reward  -0.4678157385442489 action  2
reward  -1.3052968034369201 action  2
reward  0.47885474482511087 action  2
reward  1.1491705185661487 action  2
reward  -1.7927749625410059 action  2
reward  0.058863590244709496 action  2
reward  -2.0641360359504004 action  2
reward  -2.223012227289291 action  2
reward  1.9272619468872108 action  2
reward  -1.0007142962426088 action  2
reward  -0.5590614381558112 action  2
reward  -0.16911088158495885 action  2
reward  11.874775364899971 action  2
reward  -1.9853732656407306 action  1
reward  0.1440514628847336 action  1
reward  1.3722020387837983 action  1
reward  2.4519290949272956 action  1
reward  1.780727480748568 action  1
reward  4.335626800362577 action  1
reward  6.1557313589407565 action  1
reward  -100 action  1
iteration:  2
reward  1.151707138118412 action  3
reward  1.2026652908564028 action  3
reward  1.3324365654945336 action  3
reward  1.2945976525141998 action  3
reward  1.139975529708239 action  3
reward  0.24070028352062536 action  3
reward  -0.2088736428293305 action  3
reward  -0.8921903437048957 action  3
reward  -1.137417399349714 action  3
reward  -2.151945753413713 action  0
reward  -2.269521240843801 action  0
reward  -1.9459655878843012 action  3
reward  -2.122837230538606 action  3
reward  -2.964048591973466 action  0
reward  -2.6017082678011136 action  3
reward  -3.258113077719969 action  0
reward  -3.271358004123954 action  0
reward  -3.5345126714724686 action  1
reward  -3.0952141903112533 action  0
reward  -3.270048950146274 action  1
reward  3.561757053730571 action  2
reward  -3.0709032449734353 action  1
reward  -2.5945120974057545 action  0
reward  -2.731519106294597 action  1
reward  -2.584242092624662 action  1
reward  1.2631914363117118 action  2
reward  -2.227659350650099 action  1
reward  1.2934585984105353 action  2
reward  -1.923210413515477 action  0
reward  0.7500326376792656 action  2
reward  4.223984264041815 action  2
reward  0.35209859559701046 action  2
reward  -2.0131961221974835 action  1
reward  2.87924280909881 action  2
reward  -1.7003945305782213 action  1
reward  1.0805869225335811 action  2
reward  3.753419331676821 action  2
reward  3.6003300400954688 action  2
reward  -1.3886715159302685 action  1
reward  -1.1370947971528256 action  1
reward  3.654250273563588 action  2
reward  3.925441811933621 action  2
reward  -0.9109829811564214 action  1
reward  4.986616823946275 action  2
reward  4.347691818681523 action  2
reward  -1.2157564929762543 action  0
reward  2.167211544229514 action  2
reward  -0.706836978913542 action  1
reward  2.206269347356522 action  2
reward  2.660578400122671 action  2
reward  1.4419502346014326 action  2
reward  -0.5205498632100773 action  1
reward  1.5901968019694948 action  2
reward  2.5445865647621533 action  2
reward  2.0315310645977833 action  2
reward  3.5719864980111256 action  2
reward  3.567919635728157 action  2
reward  -0.21331456299176807 action  1
reward  2.0095396167758794 action  2
reward  2.745735564765977 action  2
reward  -0.43440162367414814 action  0
reward  2.971155981250104 action  2
reward  5.077276975179228 action  2
reward  -0.014362591991811086 action  1
reward  -0.36057664513211307 action  0
reward  1.764772692990573 action  2
reward  0.3825955879439118 action  1
reward  2.8305645109323736 action  2
reward  2.793255872739377 action  2
reward  0.7737298023109258 action  1
reward  3.1647982109192414 action  2
reward  4.048742943351084 action  2
reward  4.261367664436034 action  2
reward  3.1348996573635732 action  2
reward  2.5685203691041183 action  2
reward  4.575451369198203 action  2
reward  1.7097366669677683 action  2
reward  0.46170174275567605 action  2
reward  1.6638215619383174 action  2
reward  -0.10321967915583058 action  2
reward  -1.7799986198962927 action  2
reward  -0.9031455864177815 action  2
reward  -0.6112133232270935 action  2
reward  0.8116553420799562 action  2
reward  -1.9631460656769975 action  2
reward  1.2580462633882206 action  2
reward  -0.1404843346661579 action  2
reward  -2.798189715394797 action  3
reward  -2.7877122482211107 action  3
reward  -0.06591888403861218 action  2
reward  -2.8182156527333704 action  3
reward  2.092023119370535 action  2
reward  -2.339302863011666 action  3
reward  -1.814059575029816 action  0
reward  -2.5747493704106277 action  3
reward  -2.5112699387563695 action  3
reward  -1.7499919327776325 action  0
reward  0.45541298941499236 action  2
reward  -1.911234539603413 action  0
reward  2.000898657705659 action  2
reward  2.214522320330002 action  2
reward  2.205777285937967 action  2
reward  -2.43181237041088 action  3
reward  -2.0059997461987535 action  0
reward  1.5230198837905788 action  2
reward  -2.3467635117096806 action  3
reward  2.140620009266496 action  2
reward  -1.9489027104313408 action  0
reward  1.9287464048862801 action  2
reward  -2.068595918733435 action  3
reward  -1.7416345440608296 action  0
reward  2.362592130121482 action  2
reward  4.552657441718066 action  2
reward  -1.811611022777554 action  3
reward  -1.487544712644875 action  3
reward  -1.1702164452867112 action  3
reward  -0.9888709790592418 action  3
reward  4.189390230449075 action  2
reward  -1.1640406750814936 action  1
reward  3.4743858612703464 action  2
reward  0.9268854385260965 action  2
reward  0.9813816289231283 action  2
reward  -1.2012853218838302 action  0
reward  1.059653551434988 action  2
reward  4.863295314308329 action  2
reward  -0.7411160572248707 action  3
reward  -0.5675763500869937 action  3
reward  -0.6845717106325537 action  0
reward  3.480750199332019 action  2
reward  2.6375636053847673 action  2
reward  2.877070179891658 action  2
reward  -0.5810524655170894 action  0
reward  1.8711285981372583 action  2
reward  -0.4474540827127669 action  0
reward  4.369280733736471 action  2
reward  -0.35734517966568546 action  0
reward  0.3353093596973633 action  3
reward  2.1134648201859365 action  2
reward  3.8377112361264496 action  2
reward  2.023361515108502 action  2
reward  2.41195932086755 action  2
reward  3.9695516719114154 action  2
reward  3.01201285806344 action  2
reward  3.006435908047888 action  2
reward  -3.325926042179475 action  0
reward  1.123363135414874 action  2
reward  0.9504124701647612 action  2
reward  -3.405571708439595 action  0
reward  -0.23893092893330276 action  2
reward  1.472253597216718 action  2
reward  -3.587531484997909 action  1
reward  -3.513487636538072 action  1
reward  -1.0859769335508276 action  2
reward  -0.505561876575203 action  2
reward  0.8191891954417485 action  2
reward  0.32756465109926297 action  2
reward  -3.1230385546065946 action  0
reward  3.6644132426069094 action  2
reward  -3.18107143185577 action  0
reward  -3.149542234738617 action  1
reward  -2.9190775233952735 action  0
reward  1.656940275926911 action  2
reward  -2.9563900899903772 action  1
reward  0.18138831017142537 action  2
reward  3.21002665394158 action  2
reward  -2.840788382849182 action  1
reward  -2.6079656711660264 action  1
reward  1.38792872371084 action  2
reward  0.9727165727070399 action  2
reward  3.11445140522238 action  2
reward  -2.6236016771928377 action  0
reward  -2.1639081999673935 action  1
reward  -1.9919706469499932 action  1
reward  2.9538627803145205 action  2
reward  -2.0318362349728147 action  0
reward  1.228154891480824 action  2
reward  3.460173407145189 action  2
reward  -1.6500075064852655 action  1
reward  1.7032492272366937 action  2
reward  3.384934494748191 action  2
reward  -1.405888189975413 action  1
reward  2.114617046830287 action  2
reward  -1.1068923024457848 action  1
reward  2.281395128673563 action  2
reward  -0.8781665347182741 action  1
reward  1.7434416578566754 action  2
reward  2.2711127013699697 action  2
reward  1.852774772580102 action  2
reward  -1.0203656192909705 action  0
reward  1.836849387483096 action  2
reward  0.13493045123000627 action  1
reward  2.2388481050040925 action  2
reward  0.2399097766151084 action  1
reward  0.5060124737226641 action  1
reward  1.8123073029283858 action  2
reward  1.6805742544646562 action  2
reward  1.2163522207602255 action  2
reward  1.228719329916616 action  1
reward  16.639464900103516 action  2
reward  -7.5081922785335165 action  2
reward  14.561132710701852 action  2
reward  4.8824993400950065 action  2
reward  2.6781165052394416 action  2
reward  -0.6883772637090104 action  2
reward  -1.9509780892960424 action  1
reward  -0.23832452531197276 action  1
reward  11.38358789506105 action  1
reward  3.3455940763134975 action  1
reward  3.0525514284174604 action  1
reward  1.929761442738581 action  0
reward  2.476791929741809 action  1
reward  2.339162198175886 action  1
reward  1.9707375402039748 action  1
reward  -1.046460091501504 action  2
reward  1.1401232595276138 action  1
reward  1.0323300794405637 action  1
reward  1.164992048454857 action  1
reward  1.1268204454234276 action  1
reward  1.4299158629211821 action  1
reward  1.6460974061634286 action  1
reward  1.6407722264860543 action  1
reward  1.5520720179615932 action  1
reward  1.3654238079499 action  1
reward  1.6487298672219908 action  1
reward  1.2828150682482697 action  1
reward  1.2601356496821883 action  1
reward  0.6499466357159378 action  1
reward  0.012399305353963969 action  1
reward  0.6737417862171426 action  0
reward  0.6895946467619336 action  1
reward  0.31159509353970916 action  1
reward  0.1235600798127561 action  1
reward  0.16977103597313928 action  1
reward  0.9750934155866553 action  3
reward  -0.04662149944822211 action  1
reward  0.16860964541184423 action  1
reward  0.7839712405465846 action  0
reward  -0.28771538245165895 action  1
reward  -0.627346940179353 action  1
reward  -1.3788830614509557 action  2
reward  -0.6355956961547296 action  1
reward  -0.8170476032730545 action  2
reward  -0.5187593007521734 action  1
reward  -0.4175002021746266 action  1
reward  0.6195193249016206 action  0
reward  -0.5419464235839448 action  1
reward  -0.3414379162315832 action  2
reward  -19.06310924924449 action  0
reward  0.3805051287765686 action  3
reward  8.752537083469955 action  0
reward  12.87992587772394 action  3
reward  1.258057220638383 action  0
reward  -1.1642478782982397 action  1
reward  1.3539877873046642 action  0
reward  -0.6105496622654065 action  1
reward  -0.3285482435494227 action  1
reward  -0.5976388749482016 action  1
reward  0.5906133676057976 action  0
reward  0.584924099707008 action  0
reward  -0.4989678912756019 action  1
reward  -0.5501807492905086 action  1
reward  -0.4058417314666165 action  1
reward  -0.2343142666152402 action  1
reward  -1.2546119858625844 action  2
reward  -9.882166120408284 action  1
reward  -0.8401320080510934 action  1
reward  9.948344804028451 action  1
reward  -0.5322120728765174 action  1
reward  -0.28298849076493826 action  1
reward  -0.18272437230787972 action  1
reward  -0.34183043956372283 action  1
reward  -0.20797710204931683 action  1
reward  -0.29323160832567896 action  1
reward  -0.4386333285831483 action  1
reward  -0.46176555337465675 action  1
reward  -0.5226193229227298 action  1
reward  0.6511121722470978 action  0
reward  -0.19831612413129668 action  2
reward  -1.380244665646024 action  2
reward  -19.538897709089582 action  0
reward  0.5521256029057249 action  3
reward  9.689390243973172 action  2
reward  11.750394423680751 action  3
reward  -0.39937931957413464 action  1
reward  -0.9779766354184585 action  2
reward  -1.559229684961479 action  2
reward  -10.488964969050844 action  2
reward  -8.029528899380907 action  3
reward  1.0124022953034857 action  3
reward  -0.7990512453976688 action  0
reward  11.294134650180702 action  3
reward  -0.32881287887485544 action  3
reward  12.433009179979972 action  3
reward  0.756334026019972 action  1
reward  0.13631738534601226 action  1
reward  -4.677387228187693 action  2
reward  0.7777368995901253 action  1
reward  -9.965248896808513 action  1
reward  1.4204918723659123 action  3
reward  0.958930257992882 action  3
reward  -0.102436778647198 action  3
reward  13.085468819679425 action  3
reward  1.396763655604536 action  0
reward  -0.6405316056600927 action  1
reward  -0.19544785522485483 action  1
reward  -0.5358209747801179 action  1
reward  -2.734549291395198 action  2
reward  -11.562430875632051 action  2
reward  -7.743719221876664 action  0
reward  -1.9436922469058635 action  2
reward  1.8528085231681966 action  3
reward  -0.8042037265155857 action  0
reward  -2.20493641928139 action  0
reward  2.2870388932293304 action  2
reward  10.025137771055187 action  3
reward  -0.5595596736949513 action  3
reward  12.53396336405852 action  3
reward  1.1967073644620296 action  1
reward  -0.5792799911923499 action  1
reward  -0.24302712082511732 action  1
reward  -0.35673460610249097 action  1
reward  -0.3648336207393672 action  1
reward  -0.3508063378386861 action  1
reward  -1.0612917584412742 action  2
reward  -10.332698519050895 action  1
reward  9.786089106845223 action  1
reward  -1.8780422471860885 action  2
reward  -19.9940174260994 action  1
reward  0.7051002806929791 action  3
reward  -0.5610879671189026 action  3
reward  22.743343215126714 action  0
reward  0.23022284508268 action  1
reward  -2.9252077188099 action  2
reward  -9.363301276650638 action  1
reward  -0.42665920695138193 action  1
reward  -0.879767681112759 action  1
reward  10.486101794905007 action  1
reward  -1.9215560644781136 action  2
reward  -19.993936781549635 action  1
reward  -2.091171060982231 action  2
reward  0.6703884681816881 action  0
reward  0.7715108933394277 action  3
reward  0.13398902986299113 action  3
reward  -1.845507228892993 action  0
reward  22.670487948185134 action  3
reward  1.6088473027835033 action  1
reward  0.6812019588488181 action  1
reward  -0.6779847618333423 action  1
reward  -1.5903129654943153 action  1
reward  1.6125302609385557 action  0
reward  -0.21601089771449253 action  1
reward  0.610110663936867 action  0
reward  0.6093546692558398 action  0
reward  -2.3286472829479203 action  2
reward  -20.029013788797627 action  1
reward  0.9926086886572485 action  3
reward  -1.1119353828839242 action  3
reward  22.790727786805718 action  2
reward  0.5933023253636769 action  0
reward  -0.3529291554989509 action  1
reward  -2.6500975812367598 action  2
reward  -9.429076495398782 action  1
reward  -9.23854187733797 action  3
reward  11.45351812024222 action  2
reward  12.218013978120348 action  3
reward  -0.6101482436747421 action  1
reward  -0.24817402762331994 action  1
reward  -0.4381303877119922 action  1
reward  0.5714412234285717 action  0
reward  -0.5594244530662198 action  1
reward  0.5697325429464541 action  0
reward  -0.39627188217246956 action  1
reward  0.44018087720016724 action  2
reward  -0.21124241103489425 action  1
reward  -0.5793973289351644 action  1
reward  -0.5254174725297129 action  1
reward  -0.5648343786755408 action  1
reward  -0.6624756876883875 action  1
reward  0.5515376950165773 action  0
reward  -1.510955995680127 action  2
reward  -0.8003969081936357 action  1
reward  -0.4850840056305816 action  1
reward  -0.3862616982738014 action  1
reward  -0.5094829678415909 action  1
reward  -0.5983274969968082 action  1
reward  -0.6771476409983286 action  1
reward  -0.4482708592571789 action  1
reward  -0.6404718988113138 action  1
reward  -0.4314332110254717 action  1
reward  -0.02877302394211617 action  2
reward  -10.187966853899914 action  0
reward  9.938126658660366 action  1
reward  0.5059515989671386 action  0
reward  0.5026853000425078 action  0
reward  -2.4760907215958996 action  2
reward  -20.290256461651314 action  1
reward  0.6531980803341793 action  3
reward  -0.45537508679507144 action  3
reward  21.896814973962513 action  0
reward  0.2795182537087648 action  1
reward  -0.050728876661875616 action  1
reward  -0.5325922149850786 action  1
reward  -0.5096785623422402 action  1
reward  -0.8069811490567453 action  2
reward  -20.034663170017964 action  1
reward  1.1284911243107392 action  3
reward  -0.38558609775195296 action  3
reward  22.359791377336144 action  0
reward  -3.665935038313754 action  2
reward  0.45308631092902485 action  1
reward  -11.232694273854339 action  2
reward  1.5723544474460855 action  3
reward  1.041321110435691 action  3
reward  -0.03779339135578194 action  3
reward  13.176278330369712 action  3
reward  0.20649503227624535 action  1
reward  -0.4054258892923943 action  1
reward  -0.24878745789436138 action  1
reward  0.5573544548715113 action  0
reward  -0.21499018907403553 action  1
reward  -0.2507798352033166 action  1
reward  -0.009121841770087957 action  2
reward  -0.31319338597185253 action  1
reward  -0.6236695297991985 action  1
reward  0.5545575660069826 action  0
reward  -3.0940612340361087 action  2
reward  -17.683870479438053 action  1
reward  0.5396030920103085 action  3
reward  -0.7437135875678147 action  2
reward  0.7419480992297869 action  0
reward  -2.972570327211192 action  3
reward  21.749129886445388 action  3
reward  1.0292693791463983 action  1
reward  0.6078339444721585 action  0
reward  -0.3286530255790925 action  1
reward  -0.3963711263530907 action  1
reward  -0.8177186531540841 action  2
reward  -10.471540436344695 action  0
reward  10.6979125518615 action  1
reward  -0.639916807910949 action  1
reward  -0.21814587515953462 action  1
reward  -0.6158039200189396 action  1
reward  0.5492742537659794 action  0
reward  -0.33214027549878256 action  1
reward  0.5522105127469938 action  0
reward  0.5577806780914525 action  0
reward  -0.6340262005180886 action  1
reward  0.55734891358372 action  0
reward  -0.6546751144249245 action  1
reward  -1.802387860682493 action  2
reward  -9.944833948051496 action  0
reward  12.25115834116202 action  3
reward  -0.3114981731357147 action  1
reward  -0.2412955785329067 action  1
reward  -0.35476075312869315 action  1
reward  0.5562866382805822 action  0
reward  -0.27085124131822513 action  1
reward  -0.22110561154895578 action  1
reward  -0.517873986021965 action  1
reward  -1.530190919719961 action  2
reward  0.4665858770043627 action  0
reward  -2.287930275731221 action  2
reward  -19.562045377061278 action  1
reward  0.21935318150892538 action  3
reward  8.357344232721944 action  0
reward  11.225616266355283 action  1
reward  0.422265941040217 action  1
reward  -3.4869284159321756 action  2
reward  -4.48844390112598 action  2
reward  -24.9412557698079 action  2
reward  2.01076694965384 action  3
reward  2.107379491961504 action  3
reward  2.230581219321214 action  3
reward  2.2711189870942383 action  3
reward  1.2720524223747713 action  3
reward  -0.3662603002442335 action  0
reward  -1.9451645368751613 action  0
reward  1.9550313246788054 action  2
reward  -2.165350706798419 action  0
reward  -2.3810585920995404 action  0
reward  -2.4672828093998143 action  3
reward  -0.1142059268007884 action  2
reward  13.058017865525485 action  2
reward  8.584848715294179 action  1
reward  1.8225420182672558 action  1
reward  1.4861477476745044 action  0
reward  2.66272332458265 action  1
reward  1.5026337995669554 action  1
reward  -1.4342657219375112 action  1
reward  -0.4032568141407715 action  0
reward  -0.19423943913376426 action  1
reward  0.1414826464600101 action  1
reward  0.777826514435547 action  1
reward  -11.944879165837305 action  2
reward  -9.93922300025575 action  1
reward  0.8602175391122657 action  3
reward  10.641557225982435 action  3
reward  -2.328084944667518 action  0
reward  11.412075224295949 action  1
reward  1.9057604711894403 action  0
reward  -0.3549934951841329 action  1
reward  -2.6515273380809132 action  2
reward  1.0567561243303232 action  1
reward  -10.070707651036507 action  1
reward  -0.7149362858659163 action  1
reward  -1.6194573329541544 action  1
reward  10.622249725777658 action  1
reward  -0.2792491327904105 action  1
reward  -1.4926056324927128 action  2
reward  0.40880697986073145 action  0
reward  0.5075462712038448 action  0
reward  0.59724950358592 action  2
reward  -9.955847531553038 action  1
reward  -9.788865730594836 action  3
reward  22.601134368511254 action  3
reward  -0.5050188598450365 action  1
reward  -0.7212239962760993 action  2
reward  -0.4052865010843518 action  1
reward  -0.37501552746566946 action  1
reward  -2.258571772616544 action  2
reward  -22.489220485692595 action  2
reward  1.8089734229632761 action  3
reward  -0.2749622085947028 action  0
reward  -1.4903922298776457 action  0
reward  10.633301103632812 action  3
reward  9.114800754899294 action  3
reward  3.3527271074337195 action  2
reward  -0.3946532159159932 action  1
reward  -0.5923122054232361 action  1
reward  0.7175095123817741 action  0
reward  -0.5231869851161506 action  2
reward  -4.379763301075308 action  2
reward  -21.02342937762655 action  2
reward  2.2132777738530574 action  3
reward  -1.1522904267566816 action  2
reward  1.4533240484036665 action  3
reward  -0.4729119535570554 action  0
reward  -0.5441560629719107 action  2
reward  -0.8530186520224372 action  3
reward  -2.7061014058495694 action  0
reward  10.540744381021682 action  0
reward  0.15871436258639918 action  3
reward  -0.0017950128653800579 action  3
reward  11.859469604684854 action  3
reward  3.5515339861758095 action  2
reward  0.19219587203739266 action  1
reward  -0.3363519161715516 action  0
reward  -4.952331720802198 action  2
reward  1.3175066165507456 action  1
reward  -9.451935270983055 action  1
reward  -2.5834216316094176 action  2
reward  1.7147592614898433 action  3
reward  1.3804584991266726 action  3
reward  0.09305893061834006 action  3
reward  -0.5498338391814925 action  3
reward  -0.6512913803207929 action  3
reward  13.051182413939092 action  3
reward  -1.3166645976162414 action  2
reward  -4.403443082937129 action  2
reward  -17.61249013354328 action  1
reward  2.279852452115545 action  0
reward  0.5506808057432941 action  0
reward  -2.92945582246832 action  0
reward  10.001515393692678 action  0
reward  -0.7839445471066202 action  3
reward  12.940640919349406 action  3
reward  3.0218665680692522 action  2
reward  -0.13495256971957367 action  1
reward  -0.007527778908903854 action  1
reward  0.5125272446900055 action  0
reward  -0.2688604915587156 action  0
reward  0.022645692478284546 action  1
reward  -0.39274443012800897 action  1
reward  -0.4454617166832022 action  1
reward  0.5609885479641719 action  0
reward  0.4293478653333942 action  0
reward  -0.3760050927095733 action  1
reward  -0.6872420166920914 action  1
reward  -0.5791677862332214 action  1
reward  -0.16882584257083905 action  2
reward  0.531270687893203 action  0
reward  -0.5572480218406575 action  1
reward  -3.103382880034096 action  2
reward  -18.357279555057104 action  1
reward  0.5975333170555601 action  3
reward  8.13587717502442 action  3
reward  12.292697021527758 action  1
reward  -0.3843172956876948 action  1
reward  0.1289232483715879 action  1
reward  0.5511964431335077 action  0
reward  -0.5087400068577803 action  1
reward  -0.35657609006462354 action  1
reward  -0.5727579917969827 action  2
reward  0.5472760216388117 action  0
reward  -2.48675058501336 action  2
reward  -10.455424643433172 action  1
reward  0.04772225454888293 action  3
reward  12.908739309267776 action  3
reward  -3.4669947734472375 action  2
reward  1.2216567012479456 action  1
reward  -0.6255861614641478 action  1
reward  -0.25437186258463984 action  1
reward  -0.5008231443221092 action  1
reward  -2.029672682094641 action  2
reward  -19.50751098478151 action  1
reward  0.6945080700407129 action  3
reward  9.110040050579956 action  3
reward  11.183313948264033 action  1
reward  0.21244638077433756 action  1
reward  -0.4068018151663526 action  1
reward  -0.5955326407164871 action  1
reward  -0.5342160719748434 action  1
reward  -0.5026452725763881 action  1
reward  -0.2567591142397958 action  1
reward  -0.26077182107284425 action  1
reward  -0.7028160194771751 action  2
reward  -19.2640724522486 action  2
reward  2.6157429851277043 action  3
reward  0.06976136714773531 action  3
reward  -2.806181332789425 action  0
reward  9.898154759548635 action  0
reward  12.789249347048491 action  3
reward  1.9017130792657249 action  1
reward  -0.5499570608727218 action  1
reward  -1.1085441380560568 action  2
reward  -0.6384084398706384 action  1
reward  -0.3257127397016106 action  2
reward  -0.5184872305663848 action  1
reward  -0.5937154401186706 action  1
reward  0.5401763831817021 action  0
reward  0.5448363928655358 action  0
reward  -2.7974691749945633 action  2
reward  -18.753785304062106 action  1
reward  0.7609256885460749 action  3
reward  9.441481858242271 action  3
reward  11.980143138434732 action  1
reward  -11.744912367079566 action  2
reward  -1.5343053657115082 action  2
reward  1.4542951349508073 action  3
reward  -0.23971581095949254 action  3
reward  11.30289972321186 action  3
reward  0.5401253353373161 action  1
reward  -2.773020169396683 action  2
reward  -17.384786249039237 action  0
reward  -2.605351406145774 action  3
reward  8.834620554269309 action  0
reward  11.858625056990999 action  3
reward  -3.2656635170576207 action  2
reward  2.328324213057234 action  1
reward  2.306271354413299 action  1
reward  -1.8183107406909074 action  2
reward  1.3607200248909852 action  1
reward  -0.24371730513602927 action  1
reward  -1.1524703043132647 action  2
reward  -0.5871640961506841 action  1
reward  -0.3786621850590144 action  1
reward  -0.3821174697615841 action  1
reward  -0.560726569604159 action  1
reward  -3.5556856703399644 action  2
reward  -22.561230764303634 action  2
reward  2.0155747063713387 action  3
reward  1.6812502160192164 action  3
reward  -0.36311420920680315 action  3
reward  -2.825903082756584 action  0
reward  10.888249142931441 action  3
reward  -0.4060870565944892 action  3
reward  13.480227024313676 action  3
reward  1.983681786824776 action  1
reward  0.9872329656826793 action  0
reward  -1.8879491603840595 action  1
reward  0.17008412066439973 action  1
reward  -0.39327933895663736 action  1
reward  -2.7377054973739616 action  2
reward  -9.069897550205573 action  1
reward  -9.397344521507957 action  3
reward  -1.3845499762084195 action  3
reward  22.48319565701968 action  0
reward  0.43302465601047513 action  1
reward  -1.363068412707263 action  1
reward  0.350056639718493 action  1
reward  -1.4098042036505156 action  2
reward  -11.553425143328006 action  2
reward  -7.689009175576341 action  3
reward  0.6831691748808606 action  3
reward  -2.775305811195443 action  3
reward  10.936464881515365 action  2
reward  -1.4121558384371198 action  3
reward  12.52185373685942 action  3
reward  0.6792001445513727 action  1
reward  -0.9643490941045776 action  1
reward  -1.465553620576167 action  1
reward  0.30957297294828234 action  1
reward  -0.527381869541302 action  1
reward  -0.48475473956642356 action  1
reward  0.5288104440382853 action  0
reward  -2.475343903697019 action  2
reward  -9.660982036301514 action  1
reward  -9.346841257399882 action  3
reward  22.340646009103917 action  3
reward  -0.6656929537382184 action  2
reward  0.5350539565722308 action  0
reward  -0.20381204838893716 action  1
reward  0.5485658810655671 action  0
reward  -0.5015450809522981 action  1
reward  -0.2599695956161401 action  1
reward  -0.33862511961772657 action  1
reward  -1.764396977606171 action  2
reward  -21.557530657005277 action  2
reward  2.6381596818271738 action  3
